timestamp,PC,PCD,CH_data
1637046867368,62,0,28376 35443 27543 33616 32757 169 32766 4
1637046867369,63,0,28376 35443 27544 33617 32770 166 32767 5
1637046867370,0,111,28376 35443 27545 33617 32784 163 32767 6
1637046867369,1,65,28376 35443 27546 33618 32799 160 32768 6
1637046867370,2,177,28376 35443 27548 33619 32814 157 32768 7
1637046867369,3,24,28376 35443 27550 33620 32829 154 32768 8
1637046867370,4,86,28376 35443 27552 33620 32843 151 32769 8
1637046867369,5,139,28376 35443 27554 33621 32857 148 32770 9
1637046867429,6,85,28376 35443 27557 33622 32870 145 32770 9
1637046867429,7,1,28376 35443 27560 33624 32883 141 32771 10
1637046867429,8,30,28376 35443 27563 33626 32894 138 32772 10
1637046867431,9,77,28376 35443 27566 33628 32904 134 32772 11
1637046867431,10,0,28376 35443 27570 33630 32912 131 32772 11
1637046867432,11,1,28376 35443 27574 33633 32920 127 32772 11
1637046867431,12,0,28376 35443 27578 33636 32925 123 32772 12
1637046867431,13,0,28376 35443 27582 33639 32929 119 32771 12
1637046867432,14,0,28376 35443 27586 33642 32931 115 32771 12
1637046867431,15,2,28376 35443 27591 33645 32931 112 32770 12
1637046867431,16,94,28376 35443 27596 33649 32929 108 32769 12
1637046867432,17,97,28376 35443 27601 33653 32925 104 32769 12
1637046867434,18,49,28376 35443 27606 33656 32918 100 32768 12
1637046867434,19,23,28376 35443 27612 33660 32909 96 32768 11
1637046867434,20,228,28376 35443 27616 33664 32897 93 32768 11
1637046867434,21,163,28376 35443 27620 33667 32884 89 32767 11
1637046867473,22,85,28376 35443 27625 33670 32869 85 32767 11
1637046867473,23,1,28376 35443 27630 33674 32852 82 32766 10
1637046867473,24,30,28376 35443 27635 33676 32834 79 32766 10
1637046867475,25,77,28376 35443 27640 33679 32815 76 32765 9
1637046867475,26,0,28376 35443 27645 33682 32795 73 32765 9
1637046867475,27,2,28376 35443 27651 33685 32776 70 32764 8
1637046867475,28,0,28376 35443 27657 33688 32758 68 32764 8
1637046867475,29,0,28376 35443 27663 33691 32741 66 32763 7
1637046867475,30,0,28376 35443 27669 33694 32724 64 32762 7
1637046867477,31,0,28376 35443 27675 33697 32709 62 32761 6
1637046867477,32,0,28376 35443 27681 33699 32696 61 32760 6
1637046867477,33,0,28376 35443 27688 33702 32684 60 32760 5
1637046867548,34,0,28376 35443 27694 33705 32674 59 32759 5
1637046867548,35,0,28376 35443 27700 33708 32666 59 32758 4
1637046867548,36,0,28376 35443 27706 33711 32659 58 32758 3
1637046867548,37,0,28376 35443 27712 33714 32652 59 32757 3
1637046867549,38,17,28376 35443 27717 33717 32647 59 32757 2
1637046867549,39,1,28376 35443 27722 33720 32643 60 32757 2
1637046867549,40,30,28376 35443 27728 33723 32640 61 32757 2
1637046867549,41,79,28376 35443 27733 33727 32639 62 32758 1
1637046867549,42,0,28376 35443 27738 33731 32639 63 32759 1
1637046867549,43,3,28376 35443 27743 33734 32641 65 32760 0
1637046867551,44,0,28376 35443 27748 33738 32645 67 32761 0
1637046867551,45,0,28376 35443 27753 33741 32652 68 32763 0
1637046867551,46,0,28376 35443 27757 33745 32662 70 32765 0
1637046867551,47,0,28376 35443 27762 33748 32674 73 32767 0
1637046867551,48,0,28376 35443 27766 33751 32689 75 32769 0
1637046867551,49,0,28376 35443 27771 33754 32704 77 32772 0
1637046867552,50,0,28376 35443 27775 33757 32720 79 32775 0
1637046867552,51,0,28376 35443 27779 33760 32735 82 32779 0
1637046867552,52,0,28376 35443 27784 33763 32748 84 32783 0
1637046867552,53,0,28376 35443 27788 33766 32759 86 32788 0
1637046867593,54,17,28376 35443 27792 33770 32767 88 32792 0
1637046867593,55,1,28376 35443 27797 33773 32770 90 32796 0
1637046867593,56,10,28376 35443 27801 33776 32772 92 32800 0
1637046867596,57,79,28376 35443 27805 33779 32770 94 32804 0
1637046867596,58,0,28376 35443 27809 33782 32766 96 32807 0
1637046867596,59,4,28376 35443 27814 33785 32760 98 32810 0
1637046867596,60,0,28376 35443 27818 33787 32752 100 32812 0
1637046867596,61,0,28376 35443 27822 33790 32745 101 32813 1
1637046867596,62,0,28376 35443 27826 33793 32740 102 32814 1
1637046867638,63,0,28376 35443 27830 33795 32736 104 32814 1
1637046867638,0,111,28376 35443 27834 33798 32736 105 32813 2
1637046867638,1,65,28376 35443 27837 33799 32738 105 32812 2
1637046867640,2,177,28376 35443 27841 33801 32744 106 32811 2
1637046867640,3,24,28376 35443 27844 33803 32752 106 32810 3
1637046867640,4,86,28376 35443 27848 33804 32763 107 32809 3
1637046867640,5,139,28376 35443 27851 33806 32774 107 32808 4
1637046867640,6,85,28376 35443 27854 33807 32788 106 32807 4
1637046867640,7,1,28376 35443 27856 33808 32802 106 32807 5
1637046867640,8,30,28376 35443 27859 33809 32817 105 32807 5
1637046867642,9,77,28376 35443 27861 33810 32832 105 32808 6
1637046867642,10,0,28376 35443 27863 33810 32846 103 32810 6
1637046867642,11,1,28376 35443 27864 33810 32860 102 32811 7
1637046867683,12,0,28376 35443 27865 33810 32872 101 32813 7
1637046867683,13,0,28376 35443 27864 33809 32884 99 32815 8
1637046867683,14,0,28376 35443 27862 33807 32895 97 32817 9
1637046867684,15,2,28376 35443 27859 33805 32904 95 32820 9
1637046867684,16,94,28376 35443 27854 33801 32912 93 32822 10
1637046867684,17,97,28376 35443 27848 33797 32919 91 32823 11
1637046867685,18,49,28376 35443 27841 33791 32924 88 32825 11
1637046867685,19,23,28376 35443 27832 33783 32929 85 32827 12
1637046867685,20,228,28376 35443 27821 33774 32933 83 32828 13
1637046867685,21,163,28376 35443 27807 33764 32936 80 32829 14
1637046867773,22,85,28376 35443 27790 33753 32938 77 32830 15
1637046867773,23,1,28376 35443 27771 33742 32939 74 32831 16
1637046867773,24,30,28376 35443 27750 33729 32939 71 32831 17
1637046867775,25,77,28376 35443 27727 33715 32937 67 32831 18
1637046867775,26,0,28376 35443 27704 33700 32932 64 32831 19
1637046867775,27,2,28376 35443 27681 33685 32926 61 32830 20
1637046867847,28,0,28376 35443 27657 33669 32916 59 32829 21
1637046867847,29,0,28376 35443 27632 33652 32904 56 32827 22
1637046867847,30,0,28376 35443 27606 33636 32889 53 32825 23
1637046867850,31,0,28376 35443 27580 33620 32870 51 32822 24
1637046867850,32,0,28376 35443 27555 33605 32849 48 32819 25
1637046867850,33,0,28376 35443 27529 33589 32826 46 32816 26
1637046867850,34,0,28376 35443 27504 33574 32800 44 32813 28
1637046867850,35,0,28376 35443 27480 33560 32772 43 32809 29
1637046867850,36,0,28376 35443 27456 33546 32744 42 32805 30
1637046867850,37,0,28376 35443 27434 33533 32714 41 32802 31
1637046867852,38,17,28376 35443 27414 33521 32683 40 32798 33
1637046867852,39,1,28376 35443 27394 33511 32652 40 32795 34
1637046867852,40,30,28376 35443 27376 33501 32622 40 32792 35
1637046867852,41,79,28376 35443 27359 33491 32592 40 32789 36
1637046867852,42,0,28376 35443 27344 33483 32565 41 32786 38
1637046867852,43,3,28376 35443 27330 33475 32539 42 32783 39
1637046867853,44,0,28376 35443 27317 33468 32517 44 32781 40
