timestamp,key,userid
1637046803855,1,unknown
1637046805526,0,unknown
1637046807612,1,unknown
1637046809626,0,unknown
1637046811533,1,unknown
1637046813521,0,unknown
1637046815386,1,unknown
1637046817433,0,unknown
1637046819613,1,unknown
1637046821613,0,unknown
1637046823488,1,unknown
1637046825536,0,unknown
1637046827701,1,unknown
1637046829676,0,unknown
1637046831525,1,unknown
1637046833602,0,unknown
1637046835421,1,unknown
1637046837431,0,unknown
1637046839393,1,unknown
1637046841368,0,unknown
1637046843439,1,unknown
1637046845579,0,unknown
1637046847545,1,unknown
1637046849509,0,unknown
1637046851545,1,unknown
1637046853644,0,unknown
1637046855759,1,unknown
1637046857602,0,unknown
1637046859769,1,unknown
1637046861894,0,unknown
1637046864069,1,unknown
1637046866358,0,unknown
1637046868614,1,unknown
1637046870560,0,unknown
1637046872709,1,unknown
1637046874903,0,unknown
1637046877210,1,unknown
1637046879227,0,unknown
1637046881455,1,unknown
1637046883754,0,unknown
1637046885990,1,unknown
1637046888162,0,unknown
1637046890263,1,unknown
1637046892430,0,unknown
1637046894520,1,unknown
1637046896692,0,unknown
1637046898822,1,unknown
1637046900946,0,unknown
1637046903135,1,unknown
1637046905401,0,unknown
1637046907597,1,unknown
1637046909854,0,unknown
1637046912028,1,unknown
1637046914371,0,unknown
1637046916464,1,unknown
1637046918724,0,unknown
1637046920991,1,unknown
1637046923158,0,unknown
1637046925306,1,unknown
1637046927499,0,unknown
1637046929628,1,unknown
1637046931709,0,unknown
1637046933893,1,unknown
1637046936103,0,unknown
1637046938157,1,unknown
1637046940264,0,unknown
1637046942438,1,unknown
1637046944643,0,unknown
1637046946781,1,unknown
1637046949040,0,unknown
1637046951698,1,unknown
1637046953911,0,unknown
1637046956093,1,unknown
1637046958224,0,unknown
1637046960391,1,unknown
1637046962476,0,unknown
1637046964565,1,unknown
1637046966720,0,unknown
1637046968872,1,unknown
1637046971035,0,unknown
1637046973191,1,unknown
1637046975446,0,unknown
1637046977658,1,unknown
1637046979953,0,unknown
1637046982037,1,unknown
1637046984367,0,unknown
1637046986557,1,unknown
1637046988908,0,unknown
1637046991656,1,unknown
1637046993772,0,unknown
1637046996064,1,unknown
1637046998225,0,unknown
1637047000412,1,unknown
1637047002567,0,unknown
1637047004615,1,unknown
1637047006780,0,unknown
1637047008856,1,unknown
1637047011037,0,unknown
1637047013205,1,unknown
1637047015352,0,unknown
1637047017324,1,unknown
1637047019403,0,unknown
1637047021564,1,unknown
1637047023759,0,unknown
1637047025944,1,unknown
1637047028200,0,unknown
1637047030292,1,unknown
1637047032475,0,unknown
1637047034565,1,unknown
1637047036832,0,unknown
1637047039079,1,unknown
1637047041392,0,unknown
1637047043539,1,unknown
1637047045779,0,unknown
1637047048000,1,unknown
1637047050241,0,unknown
1637047052242,1,unknown
1637047054666,0,unknown
