weight,env_temp,sensor_temp_mean,mean,max,min,std
750,25,25.10747058823529,5884.426842684268,7204,4672,209.50024453157152
750,50,40.38338983050848,8595.040293040292,10664,6836,252.2863405812336
750,80,65.90011452682339,10398.580512820512,11948,8712,258.91092504455884
1254,25,25.12554461942257,6950.298540965207,8500,5020,245.05436440313127
1254,50,40.2442363877822,9143.85941043084,10664,8196,222.2178829230646
1254,80,65.78286935286935,10619.355897435897,12376,8980,269.0005271248099
1754,25,25.14000645577792,7745.64994425864,9684,5800,244.06097453155948
1754,50,40.15056666666667,9013.555934128337,10800,7544,208.96262084670397
1754,80,65.85870370370371,11478.494736842105,12904,10148,260.737996087793
