weight,env_temp,sensor_temp_mean,mean,max,min,std
750,-30,0.0,5270.443715846995,7932,3864,254.12818040901283
750,-15,1.2334342783505154,5059.6252723311545,6896,3408,261.638475425888
750,0,8.141839762611276,5394.154095701541,7112,3832,280.38236943769783
750,25,25.10747058823529,5884.426842684268,7204,4672,209.50024453157152
750,50,40.38338983050848,8595.040293040292,10664,6836,252.2863405812336
750,80,65.90011452682339,10398.580512820512,11948,8712,258.91092504455884
1254,-30,0.0,6547.612903225807,8588,5036,229.0612887580633
1254,-15,1.3065406790518899,6427.142857142857,8988,4336,236.9141284667534
1254,0,8.099993597951345,6627.148387096774,8472,3132,309.1294427741746
1254,25,25.12554461942257,6950.298540965207,8500,5020,245.05436440313127
1254,50,40.2442363877822,9143.85941043084,10664,8196,222.2178829230646
1254,80,65.78286935286935,10619.355897435897,12376,8980,269.0005271248099
1754,-30,0.0,7195.8981173864895,8512,5180,235.042199803765
1754,-15,1.2145925457991156,7215.369542066028,8604,5228,234.1586137854158
1754,0,8.107883787661406,7126.171568627451,8608,5200,293.29034328829675
1754,25,25.14000645577792,7745.64994425864,9684,5800,244.06097453155948
1754,50,40.15056666666667,9013.555934128337,10800,7544,208.96262084670397
1754,80,65.85870370370371,11478.494736842105,12904,10148,260.737996087793
