weight,env_temp,sensor_temp_mean,mean,max,min,std
600,-30,0.0,6972.82503192848,7264,6444,185.37793720744554
600,-15,1.2334342783505154,7177.110824742268,7568,6592,219.1811214647292
600,0,8.141839762611276,7757.871414441147,8648,6628,421.04967423566967
600,25,25.10747058823529,7909.539869281046,8032,7724,47.67912951001296
600,50,40.38338983050848,10247.562602515036,10368,10112,41.89352330257196
600,80,65.90011452682339,12336.009644364074,12436,12204,40.865381592646074
1090,-30,0.0,10128.107061503417,10428,9668,152.39541369130603
1090,-15,1.3065406790518899,9768.525304292121,10220,9132,222.55031210058314
1090,0,8.099993597951345,10119.267605633802,11012,9112,378.23819137093017
1090,25,25.12554461942257,10279.186351706037,10472,10136,57.89455001410435
1090,50,40.2442363877822,11934.70385126162,12064,11816,39.65105028395389
1090,80,65.78286935286935,12951.09645909646,13060,12852,32.65005520176235
1590,-30,0.0,11737.857328145266,11888,11456,85.69566022679815
1590,-15,1.2145925457991156,11198.00884396715,11576,10656,178.06364225319234
1590,0,8.107883787661406,11374.527977044476,12080,10528,285.16607888357953
1590,25,25.14000645577792,11541.482246610716,11656,11420,36.6328843104089
1590,50,40.15056666666667,12351.786666666667,12480,12244,36.42061443132936
1590,80,65.85870370370371,13227.823045267489,13332,13132,34.89669592685138
